Disease,Symptom,HealthTips
Stroke,"[""rash"", ""fatigue"", ""chest pain"", ""shortness of breath"", ""dizziness"", ""muscle twitch""]",Engage in regular physical activity appropriate to your condition. Follow prescribed medication schedules carefully.
Hypothyroidism,"[""tremor"", ""fever"", ""fatigue"", ""joint pain""]",Engage in regular physical activity appropriate to your condition.
Hyperthyroidism,"[""weight loss"", ""shortness of breath"", ""sleeplessness"", ""seizure"", ""palpitations"", ""swelling"", ""cough""]",Engage in regular physical activity appropriate to your condition. Quit smoking and avoid alcohol consumption.
Adenocarcinoma,"[""agitation"", ""swelling"", ""palpitations"", ""fever"", ""loss of taste"", ""confusion"", ""weight loss""]",Stay informed and get vaccinated when available.
Pneumocystis carinii pneumonia,"[""chill"", ""vomiting"", ""sleeplessness"", ""nausea"", ""sore throat""]",Stay informed and get vaccinated when available.
Migraine,"[""swelling"", ""night sweats"", ""dizziness"", ""confusion"", ""rash"", ""chill"", ""diarrhea""]",Engage in regular physical activity appropriate to your condition.
Coronary artery disease,"[""fatigue"", ""constipation"", ""confusion"", ""headache"", ""cough"", ""diarrhea"", ""nausea""]",Follow prescribed medication schedules carefully. Stay informed and get vaccinated when available.
Adenocarcinoma,"[""joint pain"", ""loss of smell"", ""dizziness"", ""shortness of breath"", ""nausea""]",Maintain hygiene to prevent infections.
Gastroenteritis,"[""chill"", ""seizure"", ""confusion"", ""cough""]",Quit smoking and avoid alcohol consumption.
Migraine,"[""cough"", ""blurred vision"", ""agitation"", ""headache""]",Ensure regular check-ups with your healthcare provider.
COPD,"[""cough"", ""rash"", ""headache"", ""loss of smell"", ""chill"", ""palpitations""]",Stay informed and get vaccinated when available.
Adhesion,"[""blurred vision"", ""chest pain"", ""muscle twitch"", ""sore throat"", ""rash"", ""palpitations"", ""weight loss"", ""constipation""]",Quit smoking and avoid alcohol consumption.
Rheumatoid arthritis,"[""chill"", ""sleeplessness"", ""nausea"", ""fever""]",Get adequate rest and sleep.
Parkinson's disease,"[""tremor"", ""sleeplessness"", ""fatigue"", ""chill""]",Practice stress-reducing techniques like meditation. Engage in regular physical activity appropriate to your condition.
Asthma,"[""palpitations"", ""night sweats"", ""swelling"", ""dizziness"", ""joint pain""]",Follow prescribed medication schedules carefully.
Migraine,"[""seizure"", ""sleeplessness"", ""loss of smell""]",Maintain a balanced diet and stay hydrated.
Hypothyroidism,"[""rash"", ""chest pain"", ""vomiting"", ""cough"", ""sleeplessness"", ""dizziness"", ""agitation""]",Engage in regular physical activity appropriate to your condition.
Pneumocystis carinii pneumonia,"[""loss of smell"", ""swelling"", ""chill"", ""dizziness""]",Follow prescribed medication schedules carefully.
Tuberculosis,"[""dizziness"", ""fatigue"", ""weight loss"", ""joint pain"", ""tremor"", ""chill""]",Maintain a balanced diet and stay hydrated.
COVID-19,"[""dizziness"", ""diarrhea"", ""swelling"", ""joint pain""]",Get adequate rest and sleep.
Stroke,"[""weight loss"", ""nausea"", ""muscle twitch"", ""chill"", ""diarrhea"", ""cough"", ""seizure""]",Get adequate rest and sleep. Practice stress-reducing techniques like meditation.
Hypertension,"[""loss of taste"", ""seizure"", ""dizziness"", ""fatigue"", ""weight loss"", ""sore throat""]",Maintain a balanced diet and stay hydrated.
Gastroenteritis,"[""fatigue"", ""weight loss"", ""nausea"", ""agitation"", ""headache"", ""diarrhea"", ""sleeplessness""]",Quit smoking and avoid alcohol consumption.
Depression,"[""tremor"", ""sleeplessness"", ""fever"", ""nausea"", ""seizure""]",Follow prescribed medication schedules carefully.
COVID-19,"[""vomiting"", ""chest pain"", ""agitation"", ""constipation""]",Avoid known triggers and allergens.
Alzheimer's disease,"[""sleeplessness"", ""shortness of breath"", ""seizure"", ""loss of taste""]",Quit smoking and avoid alcohol consumption. Avoid known triggers and allergens.
Parkinson's disease,"[""confusion"", ""dizziness"", ""vomiting""]",Follow prescribed medication schedules carefully.
Depression,"[""chill"", ""headache"", ""shortness of breath"", ""confusion""]",Maintain a balanced diet and stay hydrated.
Alzheimer's disease,"[""seizure"", ""fever"", ""constipation"", ""confusion"", ""headache"", ""tremor"", ""sore throat"", ""chest pain""]",Avoid known triggers and allergens.
Hypothyroidism,"[""chill"", ""chest pain"", ""rash"", ""nausea"", ""confusion"", ""agitation"", ""headache""]",Maintain a balanced diet and stay hydrated.
Pneumocystis carinii pneumonia,"[""joint pain"", ""shortness of breath"", ""sore throat"", ""headache"", ""dizziness"", ""cough"", ""tremor"", ""fever""]",Get adequate rest and sleep.
Adhesion,"[""diarrhea"", ""night sweats"", ""joint pain"", ""nausea"", ""seizure"", ""dizziness"", ""blurred vision"", ""swelling""]",Stay informed and get vaccinated when available.
COPD,"[""weight loss"", ""diarrhea"", ""chest pain"", ""vomiting""]",Stay informed and get vaccinated when available.
COPD,"[""vomiting"", ""confusion"", ""joint pain"", ""rash""]",Maintain a balanced diet and stay hydrated.
Depression,"[""loss of smell"", ""agitation"", ""nausea"", ""vomiting"", ""dizziness"", ""dizziness""]",Engage in regular physical activity appropriate to your condition. Quit smoking and avoid alcohol consumption.
Depression,"[""night sweats"", ""agitation"", ""cough"", ""chill""]",Maintain a balanced diet and stay hydrated.
Hypertension,"[""diarrhea"", ""swelling"", ""loss of smell"", ""seizure""]",Practice stress-reducing techniques like meditation. Get adequate rest and sleep.
Hypertension,"[""cough"", ""headache"", ""chest pain"", ""muscle twitch""]",Quit smoking and avoid alcohol consumption.
Gastroenteritis,"[""fatigue"", ""tremor"", ""loss of taste"", ""headache"", ""confusion"", ""palpitations"", ""fever""]",Get adequate rest and sleep. Quit smoking and avoid alcohol consumption.
Depression,"[""vomiting"", ""nausea"", ""cough"", ""fever"", ""loss of smell""]",Engage in regular physical activity appropriate to your condition.
Adhesion,"[""sore throat"", ""night sweats"", ""seizure"", ""chill"", ""diarrhea"", ""constipation"", ""dizziness"", ""shortness of breath""]",Follow prescribed medication schedules carefully. Get adequate rest and sleep.
Diabetes mellitus,"[""cough"", ""weight loss"", ""fever"", ""confusion"", ""tremor""]",Maintain hygiene to prevent infections.
Adhesion,"[""vomiting"", ""confusion"", ""seizure"", ""agitation"", ""headache"", ""fever"", ""rash""]",Maintain hygiene to prevent infections. Engage in regular physical activity appropriate to your condition.
Gastroenteritis,"[""agitation"", ""palpitations"", ""fatigue"", ""headache"", ""chill"", ""nausea""]",Stay informed and get vaccinated when available.
Rheumatoid arthritis,"[""dizziness"", ""diarrhea"", ""chest pain"", ""tremor"", ""constipation""]",Get adequate rest and sleep.
Asthma,"[""seizure"", ""palpitations"", ""agitation""]",Stay informed and get vaccinated when available.
Anemia,"[""tremor"", ""headache"", ""swelling"", ""rash"", ""loss of taste"", ""diarrhea"", ""chill"", ""blurred vision""]",Follow prescribed medication schedules carefully.
Adenocarcinoma,"[""vomiting"", ""joint pain"", ""dizziness""]",Ensure regular check-ups with your healthcare provider.
Hypothyroidism,"[""confusion"", ""blurred vision"", ""loss of taste"", ""vomiting"", ""headache"", ""dizziness"", ""tremor""]",Ensure regular check-ups with your healthcare provider. Get adequate rest and sleep.
Tuberculosis,"[""constipation"", ""muscle twitch"", ""headache"", ""chest pain"", ""diarrhea""]",Quit smoking and avoid alcohol consumption.
Pneumocystis carinii pneumonia,"[""dizziness"", ""night sweats"", ""chill"", ""loss of taste"", ""sleeplessness"", ""shortness of breath""]",Quit smoking and avoid alcohol consumption.
Adhesion,"[""nausea"", ""confusion"", ""chill"", ""vomiting"", ""loss of smell"", ""cough"", ""weight loss""]",Ensure regular check-ups with your healthcare provider.
Tuberculosis,"[""chill"", ""confusion"", ""tremor"", ""palpitations"", ""diarrhea"", ""dizziness"", ""dizziness"", ""constipation""]",Avoid known triggers and allergens.
COPD,"[""joint pain"", ""loss of taste"", ""sleeplessness"", ""night sweats""]",Follow prescribed medication schedules carefully.
Diabetes mellitus,"[""fatigue"", ""sleeplessness"", ""diarrhea""]",Get adequate rest and sleep.
Hypertension,"[""cough"", ""chest pain"", ""constipation"", ""headache"", ""confusion"", ""seizure"", ""loss of taste"", ""dizziness""]",Follow prescribed medication schedules carefully. Engage in regular physical activity appropriate to your condition.
Hypothyroidism,"[""rash"", ""swelling"", ""tremor"", ""constipation"", ""agitation""]",Avoid known triggers and allergens.
Rheumatoid arthritis,"[""joint pain"", ""nausea"", ""rash""]",Engage in regular physical activity appropriate to your condition. Avoid known triggers and allergens.
Adenocarcinoma,"[""chill"", ""night sweats"", ""agitation"", ""cough"", ""constipation""]",Maintain a balanced diet and stay hydrated.
Depression,"[""constipation"", ""fever"", ""chest pain"", ""dizziness"", ""blurred vision"", ""loss of taste""]",Maintain hygiene to prevent infections.
Parkinson's disease,"[""shortness of breath"", ""cough"", ""fever"", ""dizziness"", ""headache"", ""loss of smell""]",Follow prescribed medication schedules carefully.
Hypertension,"[""agitation"", ""seizure"", ""headache"", ""cough""]",Stay informed and get vaccinated when available.
Adhesion,"[""joint pain"", ""seizure"", ""loss of smell"", ""dizziness"", ""agitation"", ""tremor""]",Get adequate rest and sleep. Stay informed and get vaccinated when available.
Migraine,"[""headache"", ""rash"", ""agitation""]",Stay informed and get vaccinated when available.
Rheumatoid arthritis,"[""seizure"", ""agitation"", ""joint pain"", ""swelling"", ""loss of smell""]",Engage in regular physical activity appropriate to your condition.
Asthma,"[""palpitations"", ""tremor"", ""joint pain"", ""seizure""]",Maintain hygiene to prevent infections.
Gastroenteritis,"[""muscle twitch"", ""sore throat"", ""fever"", ""cough"", ""chill""]",Practice stress-reducing techniques like meditation. Stay informed and get vaccinated when available.
Coronary artery disease,"[""shortness of breath"", ""chill"", ""rash"", ""confusion"", ""dizziness"", ""tremor"", ""swelling"", ""seizure""]",Engage in regular physical activity appropriate to your condition.
COVID-19,"[""rash"", ""palpitations"", ""tremor"", ""vomiting"", ""chill"", ""loss of smell"", ""chest pain"", ""chill""]",Avoid known triggers and allergens.
Hyperthyroidism,"[""shortness of breath"", ""weight loss"", ""sleeplessness""]",Stay informed and get vaccinated when available.
Hyperthyroidism,"[""night sweats"", ""agitation"", ""blurred vision"", ""seizure"", ""cough"", ""fever"", ""headache""]",Stay informed and get vaccinated when available.
Asthma,"[""sleeplessness"", ""chest pain"", ""seizure"", ""joint pain"", ""night sweats"", ""confusion"", ""vomiting""]",Get adequate rest and sleep. Practice stress-reducing techniques like meditation.
COVID-19,"[""vomiting"", ""cough"", ""confusion"", ""constipation"", ""joint pain"", ""sore throat"", ""tremor"", ""nausea""]",Avoid known triggers and allergens.
Anemia,"[""chest pain"", ""fever"", ""swelling"", ""loss of smell"", ""blurred vision"", ""joint pain"", ""cough"", ""fatigue""]",Get adequate rest and sleep.
Anemia,"[""cough"", ""dizziness"", ""chest pain"", ""fever"", ""nausea"", ""headache"", ""vomiting"", ""loss of smell""]",Avoid known triggers and allergens.
Adenocarcinoma,"[""nausea"", ""vomiting"", ""fever""]",Maintain hygiene to prevent infections.
Gastroenteritis,"[""chill"", ""night sweats"", ""nausea"", ""loss of smell""]",Stay informed and get vaccinated when available.
Hyperthyroidism,"[""blurred vision"", ""muscle twitch"", ""chill""]",Avoid known triggers and allergens.
Alzheimer's disease,"[""seizure"", ""fever"", ""shortness of breath"", ""vomiting"", ""night sweats""]",Get adequate rest and sleep.
Hyperthyroidism,"[""headache"", ""sleeplessness"", ""palpitations"", ""nausea"", ""agitation"", ""diarrhea"", ""weight loss""]",Ensure regular check-ups with your healthcare provider.
Alzheimer's disease,"[""dizziness"", ""weight loss"", ""constipation"", ""cough"", ""shortness of breath"", ""loss of taste"", ""blurred vision""]",Maintain a balanced diet and stay hydrated.
COPD,"[""dizziness"", ""chill"", ""cough"", ""blurred vision"", ""loss of smell"", ""confusion""]",Practice stress-reducing techniques like meditation.
Alzheimer's disease,"[""chest pain"", ""rash"", ""seizure"", ""chill"", ""sleeplessness"", ""vomiting""]",Get adequate rest and sleep.
COVID-19,"[""sleeplessness"", ""constipation"", ""loss of smell"", ""agitation"", ""chill"", ""seizure""]",Follow prescribed medication schedules carefully. Maintain hygiene to prevent infections.
Adhesion,"[""shortness of breath"", ""palpitations"", ""agitation"", ""fatigue"", ""dizziness""]",Practice stress-reducing techniques like meditation.
Depression,"[""confusion"", ""fever"", ""chest pain"", ""muscle twitch"", ""night sweats"", ""palpitations"", ""sore throat"", ""cough""]",Ensure regular check-ups with your healthcare provider.
Hyperthyroidism,"[""chill"", ""sore throat"", ""confusion"", ""agitation"", ""tremor"", ""seizure"", ""night sweats""]",Get adequate rest and sleep. Practice stress-reducing techniques like meditation.
Gastroenteritis,"[""loss of taste"", ""sleeplessness"", ""agitation"", ""dizziness""]",Get adequate rest and sleep.
Anemia,"[""seizure"", ""weight loss"", ""muscle twitch"", ""rash"", ""shortness of breath"", ""night sweats"", ""vomiting"", ""diarrhea""]",Maintain a balanced diet and stay hydrated.
COPD,"[""swelling"", ""joint pain"", ""rash""]",Maintain hygiene to prevent infections.
Stroke,"[""vomiting"", ""palpitations"", ""shortness of breath"", ""chill"", ""fever"", ""muscle twitch"", ""loss of smell"", ""confusion""]",Maintain hygiene to prevent infections.
